location,first_rental_day,return_date,gear_name,description,price
Laax ,2023-12-15,2023-12-17,Ski Economy,;For the price-conscious;Type according to availability;,CHF 86.40
Laax ,2023-12-15,2023-12-17,Skiboots economy,;Allround ski boot;Comfortable wearing;Excellent driving performance;Type according to availability;,CHF 42.30
Laax ,2023-12-15,2023-12-17,Telemark skiboots,;Type according to availability;,CHF 42.30
Laax ,2023-12-15,2023-12-17,Cancellation option,;With the cancellation option you can cancel your reservation until 12.00 the day before.;You will get the full rental amount back less the cancellation fee.;,CHF 5.00
Laax ,2023-12-15,2023-12-17,Snowboard premium,;Top Performance;Supporting swing release;Perfect for powder;Type according to availability;,CHF 111.60
Laax ,2023-12-15,2023-12-17,Snowboard Economy,;Perfect for all levels;Tolerance for failures;Stable Board;Type according to availability;,CHF 86.40
Laax ,2023-12-15,2023-12-17,Snowboard boots economy,;Easy entry & exit;Safe stand;Best processing;Type according to availability;,CHF 42.30
Laax ,2023-12-15,2023-12-17,Snowshoes,;Great natural experience;Easy going on snow;Highest Comfort;,CHF 42.30
Laax ,2023-12-15,2023-12-17,Helmet,;Perfect fitting comfort;Perfect protection;Checked for safety;Type according to availability;,CHF 18.90
St-Luc ,2023-12-15,2023-12-15,Ski Exclusive,;Highest Quality & innovative technology;Direct power transmission;Power for sporting descents;Type according to availability;,CHF 49.50
St-Luc ,2023-12-15,2023-12-15,Telemark Ski Premium,;Type according to availability;,CHF 49.50
St-Luc ,2023-12-15,2023-12-15,Ski Test,;rent the newest models to test;Models can be changed as often as desired on the day of rental;,CHF 58.50
St-Luc ,2023-12-15,2023-12-15,Ski Premium,;For sporty bargain hunters;A ton of fun on the slopes;Type according to availability;,CHF 34.20
St-Luc ,2023-12-15,2023-12-15,Skiboots premium,;Direct force transmission;High Comfort & perfect Footing;Better Performance;Type according to availability;,CHF 17.10
St-Luc ,2023-12-15,2023-12-15,Alpine touring ski boots,;Type according to availability;,CHF 20.70
St-Luc ,2023-12-15,2023-12-15,Telemark skiboots,;Type according to availability;,CHF 20.70
St-Luc ,2023-12-15,2023-12-15,Touring Ski exklusiv,;Type according to availability;incl. skins and poles;,CHF 49.50
St-Luc ,2023-12-15,2023-12-15,Cancellation option,;With the cancellation option you can cancel your reservation until 12.00 the day before.;You will get the full rental amount back less the cancellation fee.;,CHF 5.00
St-Luc ,2023-12-15,2023-12-15,Skiing jacket adult,;Waterproof;Windproof;Pleasant temperature for your perfect skiing experience;Type according to availability;,CHF 17.10
St-Luc ,2023-12-15,2023-12-15,Skiing pants adult,;Waterproof;Windproof;Perfect fit;Type according to availability;,CHF 17.10
St-Luc ,2023-12-15,2023-12-15,Snowboard exclusive,;Unbelieveable edge stability;Extreme Performance;Control in all situations;Type according to availability;,CHF 49.50
St-Luc ,2023-12-15,2023-12-15,Snowboard premium,;Top Performance;Supporting swing release;Perfect for powder;Type according to availability;,CHF 34.20
St-Luc ,2023-12-15,2023-12-15,Snowboardboots premium,;Direct Power Transmission;Safe stand & warm feet;Maximum heel stability;Type according to availability;,CHF 17.10
St-Luc ,2023-12-15,2023-12-15,Skating shoes,;Suitable for skating rinks & natural ice.;For beginners and pro's;Perfect fitting;,CHF 8.10
St-Luc ,2023-12-15,2023-12-15,Snowshoes,;Great natural experience;Easy going on snow;Highest Comfort;,CHF 17.10
St-Luc ,2023-12-15,2023-12-15,Toboggan,;Comfortable Seating;Easy steering;,CHF 17.10
St-Luc ,2023-12-15,2023-12-15,Helmet,;Perfect fitting comfort;Perfect protection;Checked for safety;Type according to availability;,CHF 10.80
St-Luc ,2023-12-15,2023-12-16,Ski Exclusive,;Highest Quality & innovative technology;Direct power transmission;Power for sporting descents;Type according to availability;,CHF 86.40
St-Luc ,2023-12-15,2023-12-16,Ski Test,;rent the newest models to test;Models can be changed as often as desired on the day of rental;,CHF 102.60
St-Luc ,2023-12-15,2023-12-16,Ski Premium,;For sporty bargain hunters;A ton of fun on the slopes;Type according to availability;,CHF 64.80
St-Luc ,2023-12-15,2023-12-16,Telemark Ski Premium,;Type according to availability;,CHF 86.40
St-Luc ,2023-12-15,2023-12-16,Skiboots premium,;Direct force transmission;High Comfort & perfect Footing;Better Performance;Type according to availability;,CHF 32.40
St-Luc ,2023-12-15,2023-12-16,Alpine touring ski boots,;Type according to availability;,CHF 39.60
St-Luc ,2023-12-15,2023-12-16,Telemark skiboots,;Type according to availability;,CHF 39.60
St-Luc ,2023-12-15,2023-12-16,Touring Ski exklusiv,;Type according to availability;incl. skins and poles;,CHF 86.40
St-Luc ,2023-12-15,2023-12-16,Cancellation option,;With the cancellation option you can cancel your reservation until 12.00 the day before.;You will get the full rental amount back less the cancellation fee.;,CHF 5.00
St-Luc ,2023-12-15,2023-12-16,Skiing jacket adult,;Waterproof;Windproof;Pleasant temperature for your perfect skiing experience;Type according to availability;,CHF 32.40
St-Luc ,2023-12-15,2023-12-16,Skiing pants adult,;Waterproof;Windproof;Perfect fit;Type according to availability;,CHF 32.40
St-Luc ,2023-12-15,2023-12-16,Snowboard exclusive,;Unbelieveable edge stability;Extreme Performance;Control in all situations;Type according to availability;,CHF 86.40
St-Luc ,2023-12-15,2023-12-16,Snowboard premium,;Top Performance;Supporting swing release;Perfect for powder;Type according to availability;,CHF 64.80
