location,location_town,first_rental_day,return_date,gear_name,price
St. Moritz – Graubünden,St. Moritz,2023-12-15,2023-12-16,Ski Premium,89.1
St. Moritz – Graubünden,St. Moritz,2023-12-15,2023-12-16,Ski Economy,72.0
St. Moritz – Graubünden,St. Moritz,2023-12-15,2023-12-16,Skiboots premium,40.5
St. Moritz – Graubünden,St. Moritz,2023-12-15,2023-12-16,Snowboard premium,89.1
St. Moritz – Graubünden,St. Moritz,2023-12-15,2023-12-16,Snowboard Economy,72.0
St. Moritz – Graubünden,St. Moritz,2023-12-15,2023-12-16,Snowboardboots premium,40.5
St. Moritz – Graubünden,St. Moritz,2023-12-15,2023-12-16,Helmet,16.2
St. Moritz – Graubünden,St. Moritz,2023-12-15,2023-12-16,Sledges,20.7
St. Moritz – Graubünden,St. Moritz,2023-12-15,2023-12-17,Ski Premium,116.1
St. Moritz – Graubünden,St. Moritz,2023-12-15,2023-12-17,Ski Economy,89.1
St. Moritz – Graubünden,St. Moritz,2023-12-15,2023-12-17,Skiboots premium,56.7
St. Moritz – Graubünden,St. Moritz,2023-12-15,2023-12-17,Snowboard premium,116.1
St. Moritz – Graubünden,St. Moritz,2023-12-15,2023-12-17,Snowboard Economy,89.1
St. Moritz – Graubünden,St. Moritz,2023-12-15,2023-12-17,Snowboardboots premium,56.7
St. Moritz – Graubünden,St. Moritz,2023-12-15,2023-12-17,Helmet,22.5
St. Moritz – Graubünden,St. Moritz,2023-12-15,2023-12-17,Sledges,26.1
Arosa – Graubünden,Arosa,2023-12-15,2023-12-15,Ski Premium,53.1
Arosa – Graubünden,Arosa,2023-12-15,2023-12-15,Ski Economy,47.7
Arosa – Graubünden,Arosa,2023-12-15,2023-12-15,Ski Budget,39.6
Arosa – Graubünden,Arosa,2023-12-15,2023-12-15,Skiboots premium,16.2
Arosa – Graubünden,Arosa,2023-12-15,2023-12-15,Skiboots economy,16.2
Arosa – Graubünden,Arosa,2023-12-15,2023-12-15,Snowboard Economy,47.7
Arosa – Graubünden,Arosa,2023-12-15,2023-12-15,Snowboard Budget,39.6
Arosa – Graubünden,Arosa,2023-12-15,2023-12-15,Snowboard boots economy,16.2
Arosa – Graubünden,Arosa,2023-12-15,2023-12-15,Helmet,7.2
Arosa – Graubünden,Arosa,2023-12-15,2023-12-16,Ski Premium,84.6
Arosa – Graubünden,Arosa,2023-12-15,2023-12-16,Ski Economy,77.4
Arosa – Graubünden,Arosa,2023-12-15,2023-12-16,Ski Budget,68.4
Arosa – Graubünden,Arosa,2023-12-15,2023-12-16,Skiboots premium,30.6
Arosa – Graubünden,Arosa,2023-12-15,2023-12-16,Skiboots economy,30.6
Arosa – Graubünden,Arosa,2023-12-15,2023-12-16,Snowboard Economy,77.4
Arosa – Graubünden,Arosa,2023-12-15,2023-12-16,Snowboard Budget,68.4
Arosa – Graubünden,Arosa,2023-12-15,2023-12-16,Snowboard boots economy,30.6
Arosa – Graubünden,Arosa,2023-12-15,2023-12-16,Helmet,11.7
Arosa – Graubünden,Arosa,2023-12-15,2023-12-17,Ski Premium,108.9
Arosa – Graubünden,Arosa,2023-12-15,2023-12-17,Ski Economy,99.0
Arosa – Graubünden,Arosa,2023-12-15,2023-12-17,Ski Budget,83.7
Arosa – Graubünden,Arosa,2023-12-15,2023-12-17,Skiboots premium,41.4
Arosa – Graubünden,Arosa,2023-12-15,2023-12-17,Skiboots economy,41.4
Arosa – Graubünden,Arosa,2023-12-15,2023-12-17,Snowboard Economy,99.0
Arosa – Graubünden,Arosa,2023-12-15,2023-12-17,Snowboard Budget,83.7
Arosa – Graubünden,Arosa,2023-12-15,2023-12-17,Snowboard boots economy,41.4
Arosa – Graubünden,Arosa,2023-12-15,2023-12-17,Helmet,14.4
Silvaplana – Graubünden,Silvaplana,2023-12-15,2023-12-15,Ski set Premium,79.2
Silvaplana – Graubünden,Silvaplana,2023-12-15,2023-12-15,Ski set Economy,62.1
Silvaplana – Graubünden,Silvaplana,2023-12-15,2023-12-15,Ski Exclusive,62.1
Silvaplana – Graubünden,Silvaplana,2023-12-15,2023-12-15,Ski Premium,53.1
Silvaplana – Graubünden,Silvaplana,2023-12-15,2023-12-15,Ski Economy,44.1
