,location,type,comparable price,id,url,position,city,address,bathrooms,bedrooms,beds,Wifi,Free parking,Pets,Breakfast,isSuperhost,rareFind,base_price per night,base_price total,Cleaning fee,Airbnb service fee,Taxes,Special offer,Long stay discount,rate,total,persons,reviewsCount,rating
77,Tramelan,Private room in farm stay,46.333333333333336,43253295,https://www.airbnb.com/rooms/43253295,34,Tramelan,"Tramelan, Berne, Switzerland",1.0,1,2.0,True,True,True,False,False,False,139 ,278,0.0,0.0,0.0,0.0,0.0,139,278,3,1,
78,Tramelan,Entire rental unit,170.0,915577063742162667,https://www.airbnb.com/rooms/915577063742162667,36,Tramelan,"Tramelan, Berne, Switzerland",1.0,1,1.0,True,True,True,False,False,False,140 ,279,60.0,0.0,0.0,0.0,0.0,170,339,1,0,
79,Torgon,Private room in bed and breakfast,59.5,852610403716842777,https://www.airbnb.com/rooms/852610403716842777,1,Vionnaz,"Vionnaz, Valais, Switzerland",1.0,1,1.0,True,False,False,False,False,False,85 ,170,30.0,34.0,4.0,0.0,0.0,119,238,2,1,
80,Torgon,Entire rental unit,26.5,20375492,https://www.airbnb.com/rooms/20375492,2,Torgon,"Torgon, Valais, Switzerland",1.0,1,2.0,False,True,True,False,False,False,76 ,152,29.0,30.0,0.0,0.0,0.0,106,211,4,34,4.65
81,Torgon,Entire rental unit,35.0,1019997904809991837,https://www.airbnb.com/rooms/1019997904809991837,3,Vionnaz,"Vionnaz, Valais, Switzerland",1.0,1,2.0,False,True,False,False,False,False,90 ,180,60.0,40.0,0.0,0.0,0.0,140,280,4,0,
82,Torgon,Entire rental unit,39.75,14335896,https://www.airbnb.com/rooms/14335896,4,Torgon,"Torgon, Valais, Switzerland",1.5,1,2.0,True,True,False,False,False,False,93 ,186,85.0,46.0,0.0,0.0,0.0,159,317,4,15,4.47
83,Torgon,Entire rental unit,38.666666666666664,26879379,https://www.airbnb.com/rooms/26879379,5,Torgon,"Torgon, Valais, Switzerland",1.0,0,4.0,True,True,False,False,False,False,84 ,168,30.0,33.0,0.0,0.0,0.0,116,231,3,72,4.85
84,Torgon,Entire condo,34.5,53902937,https://www.airbnb.com/rooms/53902937,6,Vionnaz,"Vionnaz, Valais, Switzerland",1.0,1,2.0,True,True,True,False,False,False,80 ,160,75.0,40.0,0.0,0.0,0.0,138,275,4,11,4.82
85,Torgon,Entire rental unit,43.333333333333336,999195944858532334,https://www.airbnb.com/rooms/999195944858532334,7,Vionnaz,"Vionnaz, Valais, Switzerland",1.0,1,2.0,True,True,False,False,False,False,83 ,166,90.0,37.0,0.0,33.0,0.0,130,260,3,0,
86,Torgon,Entire rental unit,33.75,52653336,https://www.airbnb.com/rooms/52653336,8,Torgon,"Torgon, Valais, Switzerland",1.0,1,2.0,False,True,True,False,True,False,75 ,150,80.0,39.0,0.0,0.0,0.0,135,269,4,24,4.75
87,Torgon,Private room in rental unit,50.0,985285921477629466,https://www.airbnb.com/rooms/985285921477629466,9,Vionnaz,"Vionnaz, Valais, Switzerland",1.0,1,1.0,True,False,True,False,False,False,75 ,150,20.0,29.0,0.0,0.0,0.0,100,199,2,1,
88,Torgon,Entire rental unit,27.833333333333332,807944242058520301,https://www.airbnb.com/rooms/807944242058520301,14,Torgon,"Torgon, Valais, Switzerland",1.0,2,5.0,True,True,True,False,False,False,118 ,236,50.0,48.0,0.0,0.0,0.0,167,334,6,3,5.0
89,Torgon,Entire rental unit,26.0,894824944356706311,https://www.airbnb.com/rooms/894824944356706311,20,Châtel,"Châtel, Auvergne-Rhône-Alpes, France",1.0,1,3.0,True,True,True,False,True,False,63 ,125,48.0,29.0,6.0,0.0,0.0,104,208,4,4,5.0
90,Torgon,Private room in bed and breakfast,49.5,847739986218756831,https://www.airbnb.com/rooms/847739986218756831,22,Vionnaz,"Vionnaz, Valais, Switzerland",1.0,1,1.0,True,True,False,True,False,False,85 ,170,30.0,28.0,4.0,34.0,0.0,99,198,2,0,
91,Torgon,Entire chalet,31.0,31477023,https://www.airbnb.com/rooms/31477023,25,Abondance,"Abondance, Auvergne-Rhône-Alpes, France",1.0,0,1.0,True,True,False,False,True,False,51 ,102,0.0,17.0,5.0,0.0,0.0,62,124,2,362,4.94
92,Torgon,Entire condo,51.0,561183888980410782,https://www.airbnb.com/rooms/561183888980410782,29,Collombey-Muraz,"Collombey-Muraz, Valais, Switzerland",1.0,1,1.0,True,True,True,False,True,False,80 ,160,15.0,29.0,0.0,0.0,0.0,102,204,2,32,5.0
