location,location_town,first_rental_day,return_date,gear_name,price,rental_duration,price_per_day,gear_class
Laax – Graubünden,Laax,2023-12-15,2023-12-15,Snowshoes,17.1,1,17.1,clothes
Laax – Graubünden,Laax,2023-12-15,2023-12-15,Helmet,8.1,1,8.1,helmet
Laax – Graubünden,Laax,2023-12-15,2023-12-16,Ski set Economy,100.8,2,50.4,set
Laax – Graubünden,Laax,2023-12-15,2023-12-16,Ski Premium,87.3,2,43.65,ski
Laax – Graubünden,Laax,2023-12-15,2023-12-16,Telemark Ski Premium,87.3,2,43.65,ski
Laax – Graubünden,Laax,2023-12-15,2023-12-16,Ski Economy,68.4,2,34.2,ski
Laax – Graubünden,Laax,2023-12-15,2023-12-16,Skiboots economy,33.3,2,16.65,clothes
Laax – Graubünden,Laax,2023-12-15,2023-12-16,Telemark skiboots,33.3,2,16.65,clothes
Laax – Graubünden,Laax,2023-12-15,2023-12-16,Snowboard premium,87.3,2,43.65,snowboard
Laax – Graubünden,Laax,2023-12-15,2023-12-16,Snowboard Economy,68.4,2,34.2,snowboard
Laax – Graubünden,Laax,2023-12-15,2023-12-16,Snowboard boots economy,33.3,2,16.65,clothes
Laax – Graubünden,Laax,2023-12-15,2023-12-16,Snowshoes,33.3,2,16.65,clothes
Laax – Graubünden,Laax,2023-12-15,2023-12-16,Helmet,15.3,2,7.65,helmet
Laax – Graubünden,Laax,2023-12-15,2023-12-17,Ski set Economy,126.9,3,42.300000000000004,set
Laax – Graubünden,Laax,2023-12-15,2023-12-17,Ski Premium,111.6,3,37.199999999999996,ski
Laax – Graubünden,Laax,2023-12-15,2023-12-17,Telemark Ski Premium,111.6,3,37.199999999999996,ski
Laax – Graubünden,Laax,2023-12-15,2023-12-17,Ski Economy,86.4,3,28.8,ski
Laax – Graubünden,Laax,2023-12-15,2023-12-17,Skiboots economy,42.3,3,14.1,clothes
Laax – Graubünden,Laax,2023-12-15,2023-12-17,Telemark skiboots,42.3,3,14.1,clothes
Laax – Graubünden,Laax,2023-12-15,2023-12-17,Snowboard premium,111.6,3,37.199999999999996,snowboard
